Province;Municipality;Barangay;storm_surge min;storm_surge max;average storm surge;Rainfall;Rainintensity;2010 mangrove cove;Population;Households;Land area (has);Urbanization (0 rural 1 urban);Income (IRA, 2013);Dead;Partially Damaged Houses;Totally Damaged Houses;Structures (o absent 1 present);Average Elevation;Avg nearest Distance of Mangrove to the Village center (meters)
Bohol;Jetafe;San Jose;0,1;0,2;0,1;0,807407;4,030612;16,4499;1432;292;627,96;0; 1.136.586   ;0;0;0;0;95,980783;0,006719
Bohol;Jetafe;Taytay;0,1;0,2;0,1;0,807407;2,588235;1,859365;1334;272;248,64;0; 1.100.756   ;0;0;0;0;93,600746;0,004951
Bohol;Jetafe;Tulang;0,1;0,2;0,1;0,807407;4,030612;32,7008;1746;356;1088,35;0; 1.251.388   ;0;0;0;0;92,147327;0,007327
Bohol;Mabini;Concepcion;0,1;0,2;0,1;0,833333;4,030612;20,8782;1368;289;259,0801;0; 1.073.335   ;0;0;0;0;76,365932;0,005949
Bohol;Mabini;Minol;0,1;0,2;0,1;0,833333;4,030612;118,544;1414;254;276,1881;0; 1.130.005   ;0;0;0;1;75,615844;0,00077
Bohol;Mabini;Paraiso;0,1;0,2;0,1;0,992;4,030612;79,0559;819;179;457,8317;0; 912.466   ;0;0;0;0;92,879834;0
Bohol;Mabini;Poblacion I;0,1;0,2;0,1;0,833333;4,030612;13,9152;1425;312;172,4065;1; 1.134.027   ;0;0;0;1;91,007634;0,002925
Bohol;Mabini;Poblacion II;0,1;0,2;0,1;0,833333;4,030612;49,4838;1697;335;434,6742;1; 1.233.473   ;0;0;0;1;97,618254;0,003346
Bohol;Mabini;San Jose;0,1;0,2;0,1;0,833333;4,030612;65,4014;1427;334;1214,0678;0; 1.134.758   ;0;0;0;1;92,382049;0,000845
Bohol;Mabini;Tambo;0,1;0,2;0,1;0,833333;4,030612;38,8917;914;184;332,8755;0; 947.199   ;0;0;0;0;69,368952;0,006405
Bohol;Pres. Carlos P. Garcia;Aguining;0,1;0,2;0,1;0,992;4,030612;45,3583;2294;480;439,2;1; 1.451.743   ;0;0;0;1;86,842284;0,001533
Bohol;Pres. Carlos P. Garcia;Basiao;0,1;0,2;0,1;0,992;4,030612;20,8761;911;213;259,28;0; 946.102   ;0;0;0;0;89,689441;0,00176
Bohol;Pres. Carlos P. Garcia;Baud;0,1;0,2;0,1;0,992;4,030612;17,9242;603;136;167,26;0; 833.494   ;0;0;0;0;80,66928;0,00454
Bohol;Pres. Carlos P. Garcia;Bogo;0,1;0,2;0,1;0,992;4,030612;15,4454;990;205;382,48;0; 974.986   ;0;0;0;1;88,987374;0,000819
Bohol;Pres. Carlos P. Garcia;Bonbonon;0,1;0,2;0,1;0,992;4,030612;15,6277;1286;266;394,78;1; 1.083.207   ;0;0;0;1;94,784867;0,007233
Bohol;Pres. Carlos P. Garcia;Campamanog;0,1;0,2;0,1;0,992;4,030612;4,226392;1560;319;447,56;0; 1.183.384   ;0;0;0;1;92,213779;0,008364
Bohol;Pres. Carlos P. Garcia;Canmangao;0,1;0,2;0,1;0,992;4,030612;4,599892;948;210;200,96;0; 959.630   ;0;0;0;0;87,566489;0,005054
Bohol;Pres. Carlos P. Garcia;Lipata;0,1;0,2;0,1;0,992;4,030612;22,8896;685;139;349,16;0; 863.474   ;0;0;0;0;91,482915;0,002849
Bohol;Pres. Carlos P. Garcia;Poblacion;0,1;0,2;0,1;0,992;4,030612;0,938108;2700;524;417,47;1; 1.600.181   ;0;0;0;1;94,098361;0,005358
Bohol;Pres. Carlos P. Garcia;Popoo;0,1;0,2;0,1;0,992;4,030612;17,7802;977;221;215,21;0; 970.233   ;0;0;0;1;84,251855;0,003779
Bohol;Pres. Carlos P. Garcia;Saguise;0,1;0,2;0,1;0,992;4,030612;15,7347;745;163;273,56;0; 885.411   ;0;0;0;0;91,482915;0,00264
Bohol;Pres. Carlos P. Garcia;San Jose;0,1;0,2;0,1;0,992;4,030612;11,5819;1109;241;259,66;0; 1.018.493   ;0;0;0;0;84,538462;0,002733
